Response_id,Gender,Drive,Relationship
852663,male,5 Way Better than Average,Yes
852483,female,4 Better than Average,Sort of/ Not sure
850051,male,4 Better than Average,No
852487,female,1 Way Worse than Average,No
852380,female,1 Way Worse than Average,Sort of/ Not sure
851090,male,4 Better than Average,Yes
848920,male,4 Better than Average,No
848550,female,2 Worse than Average,No
852465,male,4 Better than Average,No
848583,male,3 Average,No
853256,male,5 Way Better than Average,No
848239,female,3 Average,No
848468,male,4 Better than Average,No
852359,female,4 Better than Average,Yes
848510,female,4 Better than Average,Yes
848112,male,3 Average,No
853203,female,2 Worse than Average,No
848378,male,5 Way Better than Average,Yes
853117,male,4 Better than Average,No
849176,female,4 Better than Average,Yes
848216,male,3 Average,No
849904,male,4 Better than Average,Yes
852572,male,3 Average,No
853077,female,3 Average,No
852576,female,4 Better than Average,Yes
848500,female,4 Better than Average,No
848272,male,5 Way Better than Average,No
848127,male,5 Way Better than Average,No
849184,female,2 Worse than Average,Yes
852409,female,3 Average,Yes
851522,male,5 Way Better than Average,Yes
848247,male,3 Average,No
848146,female,4 Better than Average,No
848147,female,4 Better than Average,Yes
849348,female,2 Worse than Average,No
848392,male,3 Average,Yes
852613,male,4 Better than Average,No
852480,male,3 Average,No
849603,female,4 Better than Average,No
848125,female,4 Better than Average,No
849635,male,2 Worse than Average,No
852540,male,3 Average,No
853314,other,2 Worse than Average,Yes
853286,female,4 Better than Average,No
853290,female,3 Average,Yes
848284,male,1 Way Worse than Average,Yes
852783,female,4 Better than Average,No
851935,female,2 Worse than Average,No
850479,male,,Yes
848151,male,1 Way Worse than Average,No
848882,male,5 Way Better than Average,
848502,female,4 Better than Average,Yes
848407,male,5 Way Better than Average,Yes
852392,female,3 Average,Yes
852363,female,3 Average,
848578,female,4 Better than Average,No
848714,female,3 Average,
851010,male,4 Better than Average,No
852401,male,2 Worse than Average,No
850179,male,3 Average,No
852082,male,4 Better than Average,Sort of/ Not sure
850059,male,3 Average,No
848589,male,5 Way Better than Average,Yes
850598,male,4 Better than Average,No
850582,male,3 Average,No
848180,male,5 Way Better than Average,Yes
848894,male,5 Way Better than Average,No
852820,male,4 Better than Average,No
851397,female,4 Better than Average,No
848254,male,3 Average,No
848781,male,4 Better than Average,Yes
848312,male,3 Average,No
849814,male,4 Better than Average,Yes
848224,female,3 Average,Yes
851328,male,2 Worse than Average,No
851920,male,5 Way Better than Average,No
848791,male,4 Better than Average,No
848442,male,5 Way Better than Average,No
848565,male,4 Better than Average,Sort of/ Not sure
852438,male,3 Average,Yes
849582,male,4 Better than Average,No
848132,male,3 Average,No
848211,male,4 Better than Average,No
848195,female,3 Average,No
851140,male,5 Way Better than Average,Sort of/ Not sure
850577,male,4 Better than Average,No
850330,male,4 Better than Average,Sort of/ Not sure
848362,male,3 Average,No
848873,female,3 Average,Yes
849233,male,5 Way Better than Average,No
848780,male,4 Better than Average,Yes
848154,male,3 Average,No
852544,male,4 Better than Average,Yes
848145,female,3 Average,No
848921,male,,Yes
848669,female,3 Average,No
850195,male,5 Way Better than Average,Sort of/ Not sure
848403,female,4 Better than Average,No
848355,male,4 Better than Average,Yes
849556,female,4 Better than Average,No
849484,male,4 Better than Average,Yes
848130,female,4 Better than Average,Yes
849345,female,4 Better than Average,No
849326,male,4 Better than Average,Sort of/ Not sure
849036,female,4 Better than Average,No
848212,female,4 Better than Average,No
851337,male,3 Average,Yes
848540,female,2 Worse than Average,No
848496,male,5 Way Better than Average,Yes
849356,male,3 Average,No
848478,female,3 Average,No
848267,male,4 Better than Average,Sort of/ Not sure
848171,male,4 Better than Average,No
851219,female,4 Better than Average,No
848361,male,5 Way Better than Average,Yes
852271,male,5 Way Better than Average,
