,imdbId,year,Decade,title.y,Btest,Btest5,budget13,domgross13,intgross13,averating,nratings
2,65466,1970,1970,Beyond the Valley of the Dolls,PASS,1 ok,5.997631,53.978683,53.978683,,
3,67065,1971,1970,Escape from the Planet of the Apes,FAIL,4 notalk,14.386286,70.780525,70.780525,2.730769231,13
4,67116,1971,1970,The French Connection,FAIL,4 notalk,12.659931,236.848653,236.848653,4.02173913,46
5,67741,1971,1970,Shaft,FAIL,4 notalk,305.063707,404.702718,616.827003,,
6,67800,1971,1970,Straw Dogs,FAIL,4 notalk,143.862856,59.412143,64.760273,,
7,67992,1971,1970,Willy Wonka & the Chocolate Factory,FAIL,3 men,17.263543,23.018057,23.018057,3.753378378,148
8,68156,1972,1970,1776,FAIL,4 notalk,22.288557,,,,
9,68646,1972,1970,The Godfather,FAIL,4 notalk,39.004975,752.051643,1496.119403,4.4875,200
11,69089,1972,1970,Pink Flamingos,PASS,1 ok,0.066866,2.305762,2.305762,3.8125,8
10,68699,1973,1970,High Plains Drifter,FAIL,4 notalk,82.329139,82.329139,82.329139,3.5,9
12,69704,1973,1970,American Graffiti,FAIL,3 men,4.074506,603.047833,734.145189,4.065789474,38
13,70047,1973,1970,The Exorcist,PASS,1 ok,62.92673,1074.306128,2111.900435,3.7265625,64
14,70707,1973,1970,Sleeper,FAIL,4 notalk,10.487788,96.197818,96.197818,4.051282051,39
15,70735,1973,1970,The Sting,FAIL,4 notalk,28.841418,837.011132,837.011132,4.015873016,63
16,71222,1974,1970,Black Christmas,PASS,1 ok,42.513535,76.693179,76.693179,,
17,71230,1974,1970,Blazing Saddles,FAIL,4 notalk,12.281688,564.485269,564.485269,3.935483871,62
18,71360,1974,1970,The Conversation,FAIL,4 notalk,7.557962,20.878869,20.878869,4.304347826,23
19,71562,1974,1970,The Godfather: Part II,PASS,1 ok,61.408439,270.669505,270.669505,4.385185185,135
21,72271,1974,1970,The Texas Chain Saw Massacre,FAIL,4 notalk,0.661322,125.520924,125.520924,3.5,17
22,72308,1974,1970,The Towering Inferno,FAIL,4 notalk,0.661322,125.520924,125.520924,3.4,10
23,72431,1974,1970,Young Frankenstein,FAIL,3 men,13.226433,407.657562,407.657562,4.087837838,74
20,71853,1975,1970,Monty Python and the Holy Grail,FAIL,3 men,1.73124,14.835412,21.765791,4.224137931,145
24,72684,1975,1970,Barry Lyndon,FAIL,4 notalk,47.609104,86.562007,86.562007,3.333333333,12
25,73195,1975,1970,Jaws,FAIL,4 notalk,51.937204,1125.306085,2037.236823,3.777777778,108
26,73486,1975,1970,One Flew Over the Cuckoo's Nest,FAIL,3 men,19.043641,471.681892,471.681892,4.256944444,144
27,73629,1975,1970,The Rocky Horror Picture Show,FAIL,2 dubious,5.19372,605.399166,605.399166,3.174603175,63
28,74156,1976,1970,Assault on Precinct 13,FAIL,4 notalk,122.754817,82.00388,147.473116,,
30,74512,1976,1970,Family Plot,PASS,1 ok,12.275482,54.01212,54.01212,,
31,74812,1976,1970,Logan's Run,FAIL,3 men,28.642791,102.295681,102.295681,3.303571429,28
32,74958,1976,1970,Network,PASS,1 ok,15.548943,96.934884,96.934884,4.092105263,38
33,75148,1976,1970,Rocky,FAIL,4 notalk,4.091827,479.705967,920.661128,3.789855072,69
34,75222,1976,1970,Silent Movie,FAIL,4 notalk,18.00404,147.901939,147.901939,,
35,75249,1976,1970,Sparkle,PASS,1 ok,40.918272,99.830228,100.905781,,
36,75314,1976,1970,Taxi Driver,FAIL,4 notalk,4.091827,115.64557,115.64557,4.224576271,118
29,74486,1977,1970,Eraserhead,FAIL,5 nowomen,0.384315,26.902024,26.902024,3.535714286,14
37,75686,1977,1970,Annie Hall,PASS,1 ok,15.372585,147.005823,147.005823,4.09375,80
