Lane,Occup,Flow,Sample
Left,0.01,14,1
Left,0.0133,18,2
Left,0.0088,12,3
Left,0.0115,16,4
Left,0.0069,8,5
Left,0.0077,11,6
Left,0.0049,7,7
Left,0.007,10,8
Left,0.0082,12,9
Left,0.0074,11,10
Left,0.0071,10,11
Left,0.0069,10,12
Left,0.0011,2,13
Left,0.0038,5,14
Left,0.0063,8,15
Left,0.0034,5,16
Left,0.0043,5,17
Left,0.0038,5,18
Left,0.0017,2,19
Left,0.0018,3,20
Left,0.0058,8,21
Left,0.0016,2,22
Left,0.003,3,23
Left,0.0024,4,24
Left,0.0014,2,25
Left,0.004,5,26
Left,0,0,27
Left,0.0016,2,28
Left,0.0013,2,29
Left,0.0013,2,30
Left,0.018,8,31
Left,0,0,32
Left,0.0024,4,33
Left,0.0037,4,34
Left,0.0042,6,35
Left,0.0024,3,36
Left,0.0012,2,37
Left,0.002,3,38
Left,0.0028,4,39
Left,0.0034,4,40
Left,0.0016,2,41
Left,0.0007,1,42
Left,0.0021,3,43
Left,0.0023,3,44
Left,0.0016,2,45
Left,0.0036,5,46
Left,0.0017,2,47
Left,0.0013,2,48
Left,0.0007,1,49
Left,0.002,3,50
Left,0.0046,7,51
Left,0.002,3,52
Left,0.0019,3,53
Left,0.0021,3,54
Left,0.0022,3,55
Left,0.0038,5,56
Left,0.0072,9,57
Left,0.0052,7,58
Left,0.004,5,59
Left,0.0038,5,60
Left,0.0031,4,61
Left,0.0056,7,62
Left,0.0106,13,63
Left,0.0112,13,64
Left,0.0146,18,65
Left,0.012,17,66
Left,0.0114,15,67
Left,0.0213,27,68
Left,0.014,19,69
Left,0.0263,35,70
Left,0.0239,33,71
Left,0.0279,38,72
Left,0.0222,27,73
Left,0.0284,37,74
Left,0.0332,45,75
Left,0.0489,67,76
Left,0.0404,56,77
Left,0.0568,76,78
Left,0.0502,69,79
Left,0.0679,96,80
Left,0.073,99,81
Left,0.0604,84,82
Left,0.073,100,83
Left,0.0566,80,84
Left,0.069,94,85
Left,0.0698,93,86
Left,0.0789,108,87
Left,0.1003,130,88
Left,0.1095,139,89
Left,0.1007,135,90
Left,0.1233,161,91
Left,0.1249,162,92
Left,0.1144,159,93
Left,0.1212,164,94
Left,0.1077,147,95
Left,0.1164,155,96
Left,0.0697,99,97
Left,0.0883,124,98
Left,0.1022,143,99
Left,0.0825,117,100
Left,0.08,116,101
Left,0.0925,129,102
Left,0.0595,86,103
Left,0.0814,117,104
Left,0.0833,113,105
Left,0.0738,102,106
Left,0.0636,94,107
Left,0.0759,108,108
Left,0.0519,71,109
Left,0.0411,57,110
Left,0.0518,76,111
Left,0.0622,89,112
Left,0.0669,93,113
Left,0.0474,68,114
Left,0.0599,86,115
Left,0.0508,74,116
Left,0.0495,73,117
Left,0.0658,94,118
Left,0.0596,81,119
Left,0.0582,83,120
Left,0.0523,73,121
Left,0.0643,91,122
Left,0.0551,78,123
Left,0.064,91,124
Left,0.0677,92,125
Left,0.0671,93,126
Left,0.0678,91,127
Left,0.0673,93,128
Left,0.0781,112,129
Left,0.0722,100,130
Left,0.0656,91,131
Left,0.0603,82,132
Left,0.0731,99,133
Left,0.0519,72,134
Left,0.0731,103,135
Left,0.0763,110,136
Left,0.068,92,137
Left,0.0714,101,138
Left,0.0805,114,139
Left,0.0709,98,140
Left,0.0743,103,141
Left,0.0788,109,142
Left,0.0755,100,143
Left,0.0688,97,144
Left,0.0711,100,145
Left,0.0818,117,146
Left,0.0833,116,147
Left,0.0819,110,148
Left,0.0837,117,149
Left,0.0892,126,150
Left,0.0812,116,151
Left,0.1123,153,152
Left,0.0995,130,153
Left,0.0779,107,154
Left,0.0872,117,155
Left,0.0771,106,156
Left,0.0818,113,157
Left,0.0951,128,158
Left,0.1119,147,159
Left,0.1122,149,160
Left,0.0812,110,161
Left,0.1089,143,162
Left,0.104,144,163
Left,0.1154,159,164
Left,0.111,146,165
Left,0.1144,151,166
Left,0.0929,125,167
Left,0.1003,142,168
Left,0.1397,183,169
Left,0.1243,170,170
Left,0.1134,152,171
Left,0.1447,186,172
Left,0.1309,168,173
Left,0.1253,168,174
Left,0.1484,192,175
Left,0.153,191,176
Left,0.1441,190,177
Left,0.1508,198,178
Left,0.1369,182,179
Left,0.1383,178,180
Left,0.1566,195,181
Left,0.1986,176,182
Left,0.31,152,183
Left,0.2402,155,184
Left,0.2676,129,185
Left,0.3271,123,186
Left,0.2846,122,187
Left,0.319,117,188
Left,0.3575,103,189
Left,0.407,96,190
Left,0.3454,98,191
Left,0.3718,102,192
Left,0.3433,95,193
Left,0.3412,100,194
Left,0.38,97,195
Left,0.3148,119,196
Left,0.3417,108,197
Left,0.2767,118,198
Left,0.2889,122,199
Left,0.2949,124,200
Left,0.289,124,201
Left,0.3344,111,202
Left,0.3069,127,203
Left,0.2989,126,204
Left,0.2533,129,205
